,r,xi,varxi,sig
0,0.011101968303483013,0.17055651863950078,7.502162477699205e-05,0.008661502454943487
1,0.013521770189386368,0.11677144270211255,5.094305592353322e-05,0.007137440432223111
2,0.01663820611310453,0.21313531720761753,3.445328638484957e-05,0.00586969218825396
3,0.020049278268111835,0.47998290054011006,2.3292311409624422e-05,0.004826210874964378
4,0.024440330810814266,0.4149825887912197,1.578867797917138e-05,0.0039734969459119225
5,0.029788597971085892,0.3564432990926289,1.068697444831607e-05,0.0032690938267838183
6,0.03628835079581173,0.33774774757688714,7.213276054264876e-06,0.0026857542803214287
7,0.044214513783354496,0.30519420827929145,4.870948148128173e-06,0.002207022462080568
8,0.053856872543571584,0.2859013720986686,3.2840902581513233e-06,0.0018122059094240156
9,0.06560618402320412,0.2745348141514052,2.218980927488064e-06,0.001489624424977002
10,0.07993469949711553,0.2602342160751898,1.4978897808526137e-06,0.0012238830748288881
11,0.09741403584269419,0.25149948531855243,1.0128307572855093e-06,0.0010063949310710528
12,0.11866683948393152,0.24206256269999588,6.848340445633462e-07,0.0008275470044434613
13,0.1445932353105308,0.23449476891403018,4.632699364522635e-07,0.0006806393585829896
14,0.17614356096250305,0.22905313248007353,3.134033723642015e-07,0.0005598244120831116
15,0.2145994606858759,0.22274269584900688,2.1205185550875568e-07,0.0004604908853699014
16,0.26146086627809434,0.21928485970240552,1.4339309698562617e-07,0.0003786728099370566
17,0.3185509468279025,0.21373082758518994,9.6818237336604e-08,0.00031115629085172615
18,0.388076059674866,0.21155627092957546,6.524093957703394e-08,0.0002554230599946566
19,0.4727877220931797,0.2077209638134262,4.4128931509809377e-08,0.00021006887325305808
20,0.575949062042787,0.2031136929543889,2.993855154769556e-08,0.00017302760342701264
21,0.7017376156121942,0.20329347430535397,2.024544510560209e-08,0.00014228648953994925
22,0.8549657789584029,0.19884335517526588,1.374136080853531e-08,0.00011722355057127092
23,1.041562808985154,0.19924540697325635,9.306498720693405e-09,9.647019602288266e-05
24,1.2689497217585155,0.19467670692154845,6.335521585859858e-09,7.9595989759911e-05
25,1.5459721813991614,0.19671256449669322,4.297429624067794e-09,6.555478338052682e-05
26,1.8835728352111165,0.19324879143835433,2.929563502881023e-09,5.412544228808688e-05
27,2.294565513466023,0.19217324475520875,1.9973451414402184e-09,4.469166747213868e-05
28,2.7954638337998152,0.1924671870690734,1.366618110016611e-09,3.6967798284677585e-05
29,3.4057123230169237,0.1915479661528667,9.344969107136345e-10,3.0569542206477916e-05
30,4.149199204898177,0.18928141167523022,6.445420527889557e-10,2.5387832770619783e-05
31,5.055053106969694,0.18956477308746308,4.4289796973317733e-10,2.1045141238138016e-05
32,6.158112050757084,0.19102810929261582,3.082327228765886e-10,1.7556557831095155e-05
33,7.5034818492211555,0.1912700328569569,2.1401680376414573e-10,1.4629313167888154e-05
34,9.143231326344967,0.18697063621461363,1.5187771062873834e-10,1.2323867519116648e-05
