,r,xi,varxi,sig
0,0.011020128175725523,0.2517572671625209,0.050177812793800056,0.224004046378185
1,0.013634002381762492,0.0430126832332533,0.03400960840664377,0.18441694175602136
2,0.01656958872591361,0.29061766523617366,0.022866831610154684,0.15121782834756847
3,0.01999664404129463,0.11556501882858719,0.015432732533582788,0.12422854959139944
4,0.02432725898521996,0.1124695200868694,0.010402875901359339,0.10199448956369819
5,0.02988467080116193,-0.008731231437770706,0.007012110265749318,0.08373834405903498
6,0.03639220851660587,0.018856099335978895,0.0047132482225977455,0.06865310060439911
7,0.04428292453220023,0.10530063264362466,0.0031790717457103796,0.05638325767202867
8,0.053704374669667786,0.034135742036293236,0.002138745094391977,0.04624656846071908
9,0.0655354172051145,0.009981958186801762,0.0014427249895222684,0.037983219841428245
10,0.07979127658305828,0.07727717652062052,0.0009711753149543291,0.03116368583711383
11,0.09737453894879727,0.04933550110864494,0.0006546947120726825,0.025587002795807924
12,0.11859551739547367,0.000962108064225248,0.00044095023848979384,0.02099881516871354
13,0.1443994288819219,0.060276495894631604,0.0002969612563152987,0.017232563834650334
14,0.17590607679567377,0.015879581328827774,0.0002001523548347242,0.014147521155125523
15,0.21464029599772988,-0.021564366138357535,0.0001347860022299703,0.011609737388501528
16,0.26129864138566355,0.011084403777223563,9.08600175617886e-05,0.009532052117030655
17,0.3183527916430654,0.007513613226275776,6.122057012098472e-05,0.007824357489339602
18,0.3882675795848306,0.014400036603505632,4.123235773900843e-05,0.006421242694292782
19,0.4729122567795564,0.011739484083544669,2.775487628813488e-05,0.005268289692882774
20,0.5763630524300098,0.015546256965452981,1.8721315623277438e-05,0.004326813564654414
21,0.7020472981176918,0.0022016273604655513,1.2642716460176026e-05,0.0035556597784625046
22,0.8555388147360347,0.010034314650031118,8.499048839216489e-06,0.0029153128201303696
23,1.04240954281297,-0.002228231084781779,5.71858264165554e-06,0.0023913558166144032
24,1.2694757861110009,0.002701259140458523,3.854856631725461e-06,0.001963378881348544
25,1.5467029628968807,0.0010322086921390591,2.598928226512764e-06,0.0016121191725529363
26,1.8846267719020688,0.0011775997696417987,1.7447932444957638e-06,0.001320906220931586
27,2.295146268797574,-0.008002519740076227,1.179540909671185e-06,0.0010860667151106258
28,2.794659992880424,-0.003328436994224856,8.08554100739106e-07,0.0008991963638377916
29,3.4052285895493455,-0.0041223434727737,5.586844138236576e-07,0.0007474519475014147
30,4.1481689280477045,0.005031846656946946,3.88425103318838e-07,0.0006232375978058753
31,5.054282801965302,0.0023669536740846017,2.7333807106264955e-07,0.0005228174356911307
32,6.158122149729429,-0.007632322959811155,1.922678618124728e-07,0.00043848359354994437
33,7.507025034044809,0.005296222942045688,1.3373020871337195e-07,0.00036569141186712593
34,9.143219821224092,-0.006045445734225252,9.358284670098449e-08,0.000305913135875177
