,r,xi,varxi,sig
0,0.011771647092172934,-0.62645711465183,1.466077204591769,1.2108167510369887
1,0.014255477983881925,2.1237786056735075,1.3613574042637857,1.1667722161003773
2,0.01653782999742387,-0.838603694823808,0.8286523330301304,0.9103034290994022
3,0.020878927782101566,-0.027132634538707602,0.5015527278866578,0.7082038745210717
4,0.024621610796263193,1.2795243456701624,0.40551071616368084,0.6367972331627084
5,0.02999871113704891,0.21790131682642602,0.22689290071063092,0.476332762583712
6,0.03480539309866345,0.6286350498273697,0.16289746717686324,0.40360558367899624
7,0.044808928957892555,0.4607866178299797,0.11692640282020243,0.3419450289450081
8,0.05328032547550931,0.048291015246333384,0.0843318746004115,0.2903995086091082
9,0.06497163458072418,0.2788726416495769,0.05383899338896327,0.23203231108826908
10,0.08025731608316795,0.47632576001061727,0.034779203758563866,0.1864918329540569
11,0.09672073698285671,0.2323697933821769,0.024592262786700642,0.15681920413871714
12,0.11914621030714993,0.22242030526965476,0.015686422765179422,0.125245450077755
13,0.14405766684467433,0.4495562435543536,0.01086602261099943,0.10424021590057951
14,0.17617460836397816,0.26879450653732484,0.007584163812054516,0.08708710474033751
15,0.21396909425451105,0.26792616484587783,0.005331189834879161,0.07301499732848835
16,0.2608885544823788,0.2765441097332604,0.0036743789588766147,0.06061665578763493
17,0.3186967777510115,0.21311479023496901,0.002466865604412762,0.04966755081955181
18,0.38766651374391364,0.15635181919285301,0.0017240166132693802,0.041521279041828424
19,0.472104010071256,0.12868973631878056,0.0012020815931689057,0.034671048342513465
20,0.5743030130315504,0.08639015651099166,0.0008604516324917832,0.02933345585661163
21,0.6994414400050599,0.12763999020346506,0.0006147272500223519,0.024793693755113453
22,0.8522383212791833,0.05976217522582951,0.00045607704562667203,0.021355960423888036
23,1.0380826132184509,0.008629710261995742,0.00034250446859959385,0.018506876251804187
24,1.263770766600677,0.00937685852934313,0.0002678669823290326,0.016366642365770463
25,1.5383941301913926,-0.020168910302053082,0.00021923028043265157,0.014806426997511979
26,1.8670712489392567,-0.047022223267480394,0.0001997652547474818,0.014133833688970655
27,2.2499033635322574,-0.08671149284048779,0.00022154419095751383,0.014884360616348753
28,2.619806022230519,0.053567670709012694,0.000421202759391213,0.020523224877957484
29,3.377313908791009,0.978579786079048,0.011204587689413873,0.10585172501860267
30,4.114202978752845,0.0,0.0,0.0
31,5.011872336272725,0.0,0.0,0.0
32,6.105402296585329,0.0,0.0,0.0
33,7.437527275659046,0.0,0.0,0.0
34,9.060305822453376,0.0,0.0,0.0
